id,objective_id,kpa_id,ref,parent_ref,level,definition,source_page
result-070,so4_1,kpa4,4.1.2,4.1,output,4.1.2.4 Improved welfare programs and workplace wellness initiatives.,77
result-071,so4_1,kpa4,4.1.3,4.1,outcome,4.1.3 Improved Organisational Capacity and Knowledge Management,77
result-072,so4_1,kpa4,4.1.3,4.1,output,4.1.3.1 Integrated Knowledge Management System and Culture,77
result-073,so4_1,kpa4,4.1.3,4.1,output,4.1.3.2 Implement targeted Learning and Development (L&D) to strengthen institutional capacity.,77
result-074,so4_1,kpa4,4.1.3,4.1,output,4.1.3.3 Enhanced employee capabilities,78
result-075,so4_1,kpa4,4.1.3,4.1,output,4.1.3.4 Robust Digital Skills Development Strategy,78
result-076,so4_1,kpa4,4.1.4,4.1,outcome,4.1.4 Improved Performance Management,78
result-077,so4_1,kpa4,4.1.4,4.1,output,4.1.4.1 Revised Performance Management Framework Developed and Approved,78
result-078,so4_1,kpa4,4.1.4,4.1,output,4.1.4.2 Performance Management System Digitization,78
result-079,so4_1,kpa4,4.1.5,4.1,outcome,"4.1.5 Improved Working Environment, Tools and Operational Support",79
result-080,so4_1,kpa4,4.1.5,4.1,output,4.1.5.1 Modernized Digital Productivity Platform,79
result-081,so4_1,kpa4,4.1.5,4.1,output,4.1.5.2 Upgraded Ergonomic and Functional Workspaces,79
result-082,so4_1,kpa4,4.1.5,4.1,output,4.1.5.3 Institutionalization of Change Management in the Authority,79
result-083,so4_1,kpa4,4.1.5,4.1,output,4.1.5.4 Renovate existing teaching physical infrastructure and facilities,80
result-084,so4_1,kpa4,4.1.5,4.1,output,4.1.5.5 Modern learning and lecture space for ITA constructed,80
result-085,so4_1,kpa4,4.1.5,4.1,output,"4.1.5.6 Safety and security of students, staff and stakeholders enhanced",80
result-086,so4_1,kpa4,4.1.5,4.1,output,4.1.5.7 Enhanced Availability of Working Tools and Equipment,81
result-087,so4_1,kpa4,4.1.5,4.1,output,4.1.5.8 Improved Workplace Safety and Security,81
result-088,so4_1,kpa4,4.1.5,4.1,output,4.1.5.9 Improved Workplace Office and staff housing building,81
result-089,so4_1,kpa4,4.1.5,4.1,output,4.1.5.10 Improved Availability of Operational Logistics and Facilities,81
result-090,so4_1,kpa4,4.1.6,4.1,outcome,"4.1.6 Strengthened Inclusion, Youth, Gender Equality and Disability Integration",81
result-091,so4_1,kpa4,4.1.6,4.1,output,4.1.6.1 Accessible Infrastructure,81
result-092,so4_1,kpa4,4.1.6,4.1,output,"4.1.6.2 Comprehensive Diversity, Equity and Inclusion (DEI) Awareness Programs and Governance Frameworks Implemented",81
result-093,so4_1,kpa4,4.1.6,4.1,output,4.1.6.3 Inclusive Recruitment and Selection policies improved,81
result-094,so4_2,kpa4,4.2.1,4.2,outcome,4.2.1 Strengthened Organisational Governance and Ethical Culture,81
result-095,so4_2,kpa4,4.2.1,4.2,output,4.2.1.1 Enhanced Ethics and Integrity Training & Awareness Program,82
result-096,so4_2,kpa4,4.2.1,4.2,output,"4.2.1.2 Strengthened Governance, Risk Management, and Internal Control System.",82
result-097,so4_2,kpa4,4.2.1,4.2,output,4.2.1.3 Established Whistle blowing and Investigation Protocol,83
result-098,so4_2,kpa4,4.2.1,4.2,output,4.2.1.4 Improved ethical conducts and internal investigations to safeguard integrity and ethical values,83
result-099,so4_2,kpa4,4.2.1,4.2,output,4.2.1.5 Comprehensive Ethics and Integrity compliance Management Framework Implemented,83
result-100,so4_2,kpa4,4.2.2,4.2,outcome,4.2.2 Reduced corruption incidents and strengthened integrity within the institution,83
result-101,so4_2,kpa4,4.2.2,4.2,output,"4.2.2.1 Anti -corruption prevention, awareness and enforcement measures strengthened",83
result-102,so4_3,kpa4,4.3.1,4.3,outcome,4.3.1 Reduced prevalence of HIV/AIDS and NCDs among employees and improved access to support services,84
result-103,so4_3,kpa4,4.3.1,4.3,output,4.3.1.1 Strengthened workplace awareness and prevention programs,84
result-104,so4_3,kpa4,4.3.1,4.3,output,"4.3.1.2 Improved employee wellness, screening and support services",84
result-105,so4_3,kpa4,4.3.1,4.3,output,4.3.1.3 Improved workplace policy and coordination for HIV/AIDS and NCD management,84
result-106,so4_3,kpa4,4.3.1,4.3,output,4.3.1.4 Reduced HIV-related stigma and discrimination in the workplace,84
result-107,so5_0,kpa5,5.1,,outcome,5.1 Improved Effectiveness and Efficiency of Procurement Processes,84
result-108,so5_0,kpa5,5.1.1,5.1,output,5.1.1 Digitized Procurement Lifecycle Implementation,85
result-109,so5_0,kpa5,5.1.2,5.1,output,5.1.2 Improved use of Framework Contracts (FWC) for critical and repeatedly requirements,85
result-110,so5_0,kpa5,5.1.3,5.1,output,"5.1.3 Enhanced Procurement Policy, laws and Procedures knowledge",85
result-111,so5_0,kpa5,5.1.4,5.1,output,5.1.4 Optimized Vendor Relationship and Performance Management System.,85
result-112,so5_0,kpa5,5.2,,outcome,5.2 Enhanced Financial Operations Management,85
result-113,so5_0,kpa5,5.2.1,5.2,output,5.2.1 Streamlined Revenue Accounting and Reconciliation Processes,86
result-114,so5_0,kpa5,5.2.2,5.2,output,5.2.2 Optimized Cash Flow and Treasury Management System,86
result-115,so5_0,kpa5,5.3,,outcome,5.3 Improved Strategic Alignment between plans and Budget,86
result-116,so5_0,kpa5,5.3.1,5.3,output,5.3.1 Medium term and annual budgeting coordination mechanism operational,86
result-117,so5_0,kpa5,5.3.2,5.3,output,5.3.2 Corporate and departmental strategic planning framework institutionalised,86
result-118,so5_0,kpa5,5.4,,outcome,5.4 Improved performance management and accountability across responsibility centres,86
result-119,so5_0,kpa5,5.4.1,5.4,output,"5.4.1 Monitoring, Evaluation, Accountability and Learning (MEAL) framework operational",86
result-120,so5_0,kpa5,5.5,,outcome,5.5 Improved delivery performance of strategic projects and programmes,86
result-121,so5_0,kpa5,5.5.1,5.5,output,5.5.1 Strategic project and programme management framework institutionalised,87
result-122,so5_0,kpa5,5.6,,outcome,"5.6 Enhanced use of evidence, research and innovation (ERI) in policy and operational decisions",87
result-123,so5_0,kpa5,5.6.1,5.6,output,5.6.1 Institutional research and innovation framework operational,87
result-124,so5_0,kpa5,5.6.2,5.6,output,5.6.2 Fiscal policy advisory and analytical briefing's function strengthened,87
result-125,so5_0,kpa5,5.6.3,5.6,output,5.6.3 Strengthened research engagement,87
result-126,so5_0,kpa5,5.6.4,5.6,output,5.6.4 Research Dissemination of Research findings effectively,88
result-127,so5_0,kpa5,5.6.5,5.6,output,5.6.5 High quality publications in reputable journals increased,89
result-128,so5_0,kpa5,5.6.6,5.6,output,5.6.6 Consultancies in strategic priority areas of the Public Service Undertaken,89
result-129,so5_0,kpa5,5.7,,outcome,5.7 Strengthened AEO Program,90
result-130,so5_0,kpa5,5.7.1,5.7,output,5.7.1 Strengthened Enforcement and ant-smuggling operations,90
result-131,so5_0,kpa5,5.7.2,5.7,output,5.7.2 Enhanced Customs Business Support,90
